+===================================+===================================+========================================+
| Launch Setup Clock                | Launch Hold Clock                 | Pin                                    |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[25]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[2]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[3]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[4]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[0]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[6]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_ppc/addr_reg[7]/CE                   |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/tick_count_reg[4]/D          |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/tick_count_reg[3]/D          |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[22]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[29]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[0]/D         |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/FSM_sequential_MODE_reg[0]/D |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[3]/D         |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[26]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[9]/D         |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[11]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[24]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/tick_count_reg[1]/D          |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[17]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/tick_count_reg[0]/D          |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[7]/D         |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[14]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[63]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[32]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/r_uart_rx_done_reg/D         |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_RAM_2Port/o_Rd_Data_reg[18]/D        |
| clk_out1_clock_wizard_clk_wiz_0_0 | clk_out1_clock_wizard_clk_wiz_0_0 | u_uart_rx/index_reg[0]/D               |
+-----------------------------------+-----------------------------------+----------------------------------------+
